"Dino Riders","Dino Riders"
"Marc Spector: Moon Knight","Marc Spector: Moon Knight"
"Nth Man the Ultimate Ninja","Nth Man the Ultimate Ninja"
"Open Space","Open Space"
"Police Academy","Police Academy"
"The Punisher Magazine","The Punisher Magazine"
"Quasar","Quasar"
"The Sensational She-Hulk","The Sensational She-Hulk"
"Shadowmasters","Shadowmasters"
"Strikeforce Morituri: Electric Undertow","Strikeforce Morituri: Electric Undertow"
"The War","The War"
"What If...?","What If...?"
"Wolverine Saga","Wolverine Saga"
"Damage Control","Damage Control"
"Black Knight","Black Knight"
"Brute Force","Brute Force"
"Camp Candy","Camp Candy"
"Deathlok","Deathlok"
"Foolkiller","Foolkiller"
"Guardians of the Galaxy","Guardians of the Galaxy"
"The Impossible Man Summer Vacation Spectacular","The Impossible Man Summer Vacation Spectacular"
"Mighty Mouse","Mighty Mouse"
"Namor, the Sub-Mariner","Namor, the Sub-Mariner"
"The New Warriors","The New Warriors"
"Nomad","Nomad"
"The Punisher Armory","The Punisher Armory"
"RoboCop","RoboCop"
"RoboCop 2","RoboCop 2"
"Saga of the Original Human Torch","Saga of the Original Human Torch"
"Spider-Man","Spider-Man"
"Steeltown Rockers","Steeltown Rockers"
"The Thanos Quest","The Thanos Quest"
"X-Men Spotlight on... Starjammers","X-Men Spotlight on... Starjammers"
"Zorro","Zorro"
"Adventures of Captain America","Adventures of Captain America"
"Alpha Flight Special","Alpha Flight Special"
"Barbie Fashion","Barbie Fashion"
"Captain Planet and the Planeteers","Captain Planet and the Planeteers"
"Darkhawk","Darkhawk"
"Deadly Foes of Spider-Man","Deadly Foes of Spider-Man"
"Deathlok Special","Deathlok Special"
"Guardians of the Galaxy Annual","Guardians of the Galaxy Annual"
"The Infinity Gauntlet","The Infinity Gauntlet"
"The Legion of Night","The Legion of Night"
"The Punisher: P.O.V.","The Punisher: P.O.V."
"Sleepwalker","Sleepwalker"
"Terminator 2: Judgment Day","Terminator 2: Judgment Day"
"Wonder Man","Wonder Man"
"X-Force","X-Force"
"X-Men","X-Men"
"The Adventures of the Thing","The Adventures of the Thing"
"American Tail: Fievel Goes West","American Tail: Fievel Goes West"
"Cable","Cable"
"Cage","Cage"
"Cops: The Job","Cops: The Job"
"Darkhold: Pages from the Book of Sins","Darkhold: Pages from the Book of Sins"
"Defenders of Dynatron City","Defenders of Dynatron City"
"Doctor Strange, Sorcerer Supreme Annual","Doctor Strange, Sorcerer Supreme Annual"
"Fish Police","Fish Police"
"Ghost Rider/Blaze: Spirits of Vengeance","Ghost Rider/Blaze: Spirits of Vengeance"
"Hook","Hook"
"Hulk: Future Imperfect","Hulk: Future Imperfect"
"The Infinity War","The Infinity War"
"James Bond Jr.","James Bond Jr."
"Morbius: The Living Vampire","Morbius: The Living Vampire"
"Night Thrasher: Four Control","Night Thrasher: Four Control"
"Nightstalkers","Nightstalkers"
"The Punisher: War Zone","The Punisher: War Zone"
"The Ren & Stimpy Show","The Ren & Stimpy Show"
"Silver Sable and the Wild Pack","Silver Sable and the Wild Pack"
"Slapstick","Slapstick"
"Terror Inc.","Terror Inc."
"Toxic Crusaders","Toxic Crusaders"
"Warlock and the Infinity Watch","Warlock and the Infinity Watch"
"X-Force Annual","X-Force Annual"
"X-Men Adventures","X-Men Adventures"
"Avengers: The Terminatrix Objective","Avengers: The Terminatrix Objective"
"Biker Mice from Mars","Biker Mice from Mars"
"Blaze: Legacy of Blood","Blaze: Legacy of Blood"
"Book of the Dead","Book of the Dead"
"Curse of the Weird","Curse of the Weird"
"Daredevil: The Man Without Fear","Daredevil: The Man Without Fear"
"Deadpool","Deadpool"
"Death Metal Vs. Genetix","Death Metal Vs. Genetix"
"Fantastic Four Unlimited","Fantastic Four Unlimited"
"Gambit","Gambit"
"The Infinity Crusade","The Infinity Crusade"
"King Arthur And The Knights Of Justice","King Arthur And The Knights Of Justice"
"Lethal Foes of Spider-Man","Lethal Foes of Spider-Man"
"The Marvel Masterpieces Collection","The Marvel Masterpieces Collection"
"Meteor Man","Meteor Man"
"Monster Menace","Monster Menace"
"Morbius Revisited","Morbius Revisited"
"Mort the Dead Teenager","Mort the Dead Teenager"
"Night Thrasher","Night Thrasher"
"Punisher: The Ghosts of Innocents","Punisher: The Ghosts of Innocents"
"Sabretooth","Sabretooth"
"Secret Defenders","Secret Defenders"
"Silver Surfer/Warlock: Resurrection","Silver Surfer/Warlock: Resurrection"
"Spider-Man Classics","Spider-Man Classics"
"Spider-Man Unlimited","Spider-Man Unlimited"
"Thor Corps","Thor Corps"
"Thunderstrike","Thunderstrike"
"Transformers: Generation 2","Transformers: Generation 2"
"Venom: Lethal Protector","Venom: Lethal Protector"
"Venom: The Madness","Venom: The Madness"
"Warlock Chronicles","Warlock Chronicles"
